INFO:root:Epoch 0/24
INFO:root:----------
INFO:root:class_loss: 0.7530881762504578, open_set_loss: 0.6096123456954956
INFO:root:class_loss: 0.11632377654314041, open_set_loss: 0.4242488741874695
INFO:root:class_loss: 0.14238028228282928, open_set_loss: 0.30036062002182007
INFO:root:class_loss: 0.20904569327831268, open_set_loss: 0.20758497714996338
INFO:root:class_loss: 0.060001373291015625, open_set_loss: 0.14614593982696533
INFO:root:class_loss: 0.06588071584701538, open_set_loss: 0.09324837476015091
INFO:root:class_loss: 0.046219490468502045, open_set_loss: 0.06360277533531189
INFO:root:class_loss: 0.019956134259700775, open_set_loss: 0.04360547661781311
INFO:root:class_loss: 0.05631708353757858, open_set_loss: 0.03283184766769409
INFO:root:class_loss: 0.05342138558626175, open_set_loss: 0.0245819129049778
INFO:root:class_loss: 0.017426680773496628, open_set_loss: 0.018384303897619247
INFO:root:class_loss: 0.01650816574692726, open_set_loss: 0.013694795779883862
INFO:root:class_loss: 0.02990044094622135, open_set_loss: 0.01076905895024538
INFO:root:class_loss: 0.04344099387526512, open_set_loss: 0.008423367515206337
INFO:root:class_loss: 0.02340713143348694, open_set_loss: 0.006445800885558128
INFO:root:class_loss: 0.04021164029836655, open_set_loss: 0.005352736450731754
INFO:root:class_loss: 0.029129263013601303, open_set_loss: 0.004395331256091595
INFO:root:class_loss: 0.03181164711713791, open_set_loss: 0.003909256309270859
INFO:root:class_loss: 0.03987189009785652, open_set_loss: 0.0032675275579094887
INFO:root:class_loss: 0.0222665723413229, open_set_loss: 0.002739173360168934
INFO:root:class_loss: 0.01791648380458355, open_set_loss: 0.002464975230395794
INFO:root:class_loss: 0.026546083390712738, open_set_loss: 0.002094971016049385
INFO:root:class_loss: 0.0258630458265543, open_set_loss: 0.001861446537077427
INFO:root:class_loss: 0.015558508224785328, open_set_loss: 0.0017110053449869156
INFO:root:class_loss: 0.024102259427309036, open_set_loss: 0.0015429062768816948
INFO:root:class_loss: 0.012741807848215103, open_set_loss: 0.0014155404642224312
INFO:root:class_loss: 0.026533016934990883, open_set_loss: 0.0013072686269879341
INFO:root:class_loss: 0.01091605145484209, open_set_loss: 0.0011879568919539452
INFO:root:class_loss: 0.018576491624116898, open_set_loss: 0.0011179493740200996
INFO:root:class_loss: 0.02424517646431923, open_set_loss: 0.0010090097784996033
INFO:root:class_loss: 0.035763803869485855, open_set_loss: 0.0010265540331602097
INFO:root:class_loss: 0.01825631596148014, open_set_loss: 0.0009406469762325287
INFO:root:class_loss: 0.00847146101295948, open_set_loss: 0.0008548060432076454
INFO:root:class_loss: 0.02157590165734291, open_set_loss: 0.0008462918922305107
INFO:root:class_loss: 0.02068306878209114, open_set_loss: 0.0007819132879376411
INFO:root:class_loss: 0.02142661064863205, open_set_loss: 0.0007451074197888374
INFO:root:class_loss: 0.020383747294545174, open_set_loss: 0.0007233191281557083
INFO:root:class_loss: 0.016043568029999733, open_set_loss: 0.0007053855806589127
INFO:root:class_loss: 0.02426222711801529, open_set_loss: 0.0006482629105448723
INFO:root:class_loss: 0.013096936978399754, open_set_loss: 0.000682218000292778
INFO:root:class_loss: 0.018065115436911583, open_set_loss: 0.000619315542280674
INFO:root:class_loss: 0.005660593509674072, open_set_loss: 0.0006065778434276581
INFO:root:class_loss: 0.01001452375203371, open_set_loss: 0.0005792379379272461
INFO:root:class_loss: 0.015201516449451447, open_set_loss: 0.0006086099892854691
INFO:root:class_loss: 0.012868333607912064, open_set_loss: 0.0005620604497380555
INFO:root:train Loss: 0.0647 Acc: 0.9747
INFO:root:class_loss: 0.015043274499475956, open_set_loss: 0.0008597159758210182
INFO:root:class_loss: 0.01637876033782959, open_set_loss: 0.0008431114256381989
INFO:root:class_loss: 0.012494551949203014, open_set_loss: 0.0008471012115478516
INFO:root:class_loss: 0.01739620603621006, open_set_loss: 0.0008025290444493294
INFO:root:class_loss: 0.009256166405975819, open_set_loss: 0.0008434858173131943
INFO:root:class_loss: 0.011353540234267712, open_set_loss: 0.0008513033390045166
INFO:root:class_loss: 0.010770304128527641, open_set_loss: 0.0008859308436512947
INFO:root:class_loss: 0.014564876444637775, open_set_loss: 0.0008459435775876045
INFO:root:class_loss: 0.01905512437224388, open_set_loss: 0.0008479738608002663
INFO:root:class_loss: 0.009584132581949234, open_set_loss: 0.000853169709444046
INFO:root:class_loss: 0.006965091917663813, open_set_loss: 0.0008569136261940002
INFO:root:class_loss: 0.0070532141253352165, open_set_loss: 0.0007990924059413373
INFO:root:val Loss: 0.0017 Acc: 0.9949
INFO:root:Epoch 1/24
INFO:root:----------
INFO:root:class_loss: 0.02001831866800785, open_set_loss: 0.0005404269322752953
INFO:root:class_loss: 0.01356524508446455, open_set_loss: 0.0005428371950984001
INFO:root:class_loss: 0.02809179201722145, open_set_loss: 0.0005433717742562294
INFO:root:class_loss: 0.01470738835632801, open_set_loss: 0.0005050506442785263
INFO:root:class_loss: 0.010182048194110394, open_set_loss: 0.0005071070045232773
INFO:root:class_loss: 0.01237532403320074, open_set_loss: 0.0005088439211249352
INFO:root:class_loss: 0.020331721752882004, open_set_loss: 0.00048826914280653
INFO:root:class_loss: 0.010768569074571133, open_set_loss: 0.0004793228581547737
INFO:root:class_loss: 0.007346768863499165, open_set_loss: 0.00046541541814804077
INFO:root:class_loss: 0.014268498867750168, open_set_loss: 0.00046120304614305496
INFO:root:class_loss: 0.0067846630699932575, open_set_loss: 0.00046602822840213776
INFO:root:class_loss: 0.013028194196522236, open_set_loss: 0.00044118333607912064
INFO:root:class_loss: 0.013213947415351868, open_set_loss: 0.00044182222336530685
INFO:root:class_loss: 0.016027120873332024, open_set_loss: 0.0004372233524918556
INFO:root:class_loss: 0.019583668559789658, open_set_loss: 0.0004242723807692528
INFO:root:class_loss: 0.012054027989506721, open_set_loss: 0.0004191780462861061
INFO:root:class_loss: 0.009884102270007133, open_set_loss: 0.0004148287698626518
INFO:root:class_loss: 0.019029973074793816, open_set_loss: 0.0004267236217856407
INFO:root:class_loss: 0.014714781194925308, open_set_loss: 0.0004086494445800781
INFO:root:class_loss: 0.01244287844747305, open_set_loss: 0.0004030521959066391
INFO:root:class_loss: 0.01376605499535799, open_set_loss: 0.00039569009095430374
INFO:root:class_loss: 0.008019763045012951, open_set_loss: 0.00039334315806627274
INFO:root:class_loss: 0.007836556062102318, open_set_loss: 0.0003932816907763481
INFO:root:class_loss: 0.008357281796634197, open_set_loss: 0.0003780340775847435
INFO:root:class_loss: 0.009555690921843052, open_set_loss: 0.0003874329850077629
INFO:root:class_loss: 0.008024795912206173, open_set_loss: 0.00038599874824285507
INFO:root:class_loss: 0.014388247393071651, open_set_loss: 0.00039558112621307373
INFO:root:class_loss: 0.008116678334772587, open_set_loss: 0.0003749970346689224
INFO:root:class_loss: 0.0057315765880048275, open_set_loss: 0.0003731539472937584
INFO:root:class_loss: 0.01984955370426178, open_set_loss: 0.0003736596554517746
INFO:root:class_loss: 0.010262411087751389, open_set_loss: 0.0003789179027080536
INFO:root:class_loss: 0.0059068650007247925, open_set_loss: 0.00037250854074954987
INFO:root:class_loss: 0.014489746652543545, open_set_loss: 0.0003619985654950142
INFO:root:class_loss: 0.003659574780613184, open_set_loss: 0.00035710539668798447
INFO:root:class_loss: 0.011703254655003548, open_set_loss: 0.0003526899963617325
INFO:root:class_loss: 0.006487905979156494, open_set_loss: 0.0003440985456109047
INFO:root:class_loss: 0.012634585611522198, open_set_loss: 0.0003890795633196831
INFO:root:class_loss: 0.006522165145725012, open_set_loss: 0.0003617089241743088
INFO:root:class_loss: 0.013256838545203209, open_set_loss: 0.0003431951627135277
INFO:root:class_loss: 0.021199900656938553, open_set_loss: 0.0003425702452659607
INFO:root:class_loss: 0.009730496443808079, open_set_loss: 0.00032955966889858246
INFO:root:class_loss: 0.010372059419751167, open_set_loss: 0.000339302234351635
INFO:root:class_loss: 0.004779745824635029, open_set_loss: 0.00032792799174785614
INFO:root:class_loss: 0.0219245757907629, open_set_loss: 0.0003366917371749878
INFO:root:class_loss: 0.004876626189798117, open_set_loss: 0.0003517014847602695
INFO:root:train Loss: 0.0008 Acc: 0.9945
INFO:root:class_loss: 0.0077310893684625626, open_set_loss: 0.0003819027915596962
INFO:root:class_loss: 0.008138587698340416, open_set_loss: 0.0003812657669186592
INFO:root:class_loss: 0.006208512466400862, open_set_loss: 0.0003837915137410164
INFO:root:class_loss: 0.010074658319354057, open_set_loss: 0.00037591438740491867
INFO:root:class_loss: 0.0015491378726437688, open_set_loss: 0.0003834506496787071
INFO:root:class_loss: 0.006046089343726635, open_set_loss: 0.0003807945176959038
INFO:root:class_loss: 0.004690634086728096, open_set_loss: 0.0003848280757665634
INFO:root:class_loss: 0.005707890726625919, open_set_loss: 0.0003879861906170845
INFO:root:class_loss: 0.012808512896299362, open_set_loss: 0.00038786325603723526
INFO:root:class_loss: 0.004482635762542486, open_set_loss: 0.00038495101034641266
INFO:root:class_loss: 0.005957690067589283, open_set_loss: 0.00037817470729351044
INFO:root:class_loss: 0.0019799647852778435, open_set_loss: 0.0003938241570722312
INFO:root:val Loss: 0.0008 Acc: 0.9975
INFO:root:Epoch 2/24
INFO:root:----------
INFO:root:class_loss: 0.01900664158165455, open_set_loss: 0.0003285212442278862
INFO:root:class_loss: 0.007782862987369299, open_set_loss: 0.0003264937549829483
INFO:root:class_loss: 0.01735212653875351, open_set_loss: 0.0003310712054371834
INFO:root:class_loss: 0.006397480610758066, open_set_loss: 0.0003226716071367264
INFO:root:class_loss: 0.016291595995426178, open_set_loss: 0.000344899483025074
INFO:root:class_loss: 0.015762200579047203, open_set_loss: 0.0003161029890179634
INFO:root:class_loss: 0.014269338920712471, open_set_loss: 0.0003103865310549736
INFO:root:class_loss: 0.006544830743223429, open_set_loss: 0.00032716337591409683
INFO:root:class_loss: 0.006197312381118536, open_set_loss: 0.0003073541447520256
INFO:root:class_loss: 0.008690156042575836, open_set_loss: 0.00031709205359220505
INFO:root:class_loss: 0.00658796913921833, open_set_loss: 0.0003245454281568527
INFO:root:class_loss: 0.005205236840993166, open_set_loss: 0.0003057047724723816
INFO:root:class_loss: 0.004841232672333717, open_set_loss: 0.00032498035579919815
INFO:root:class_loss: 0.0063019804656505585, open_set_loss: 0.00030152034014463425
INFO:root:class_loss: 0.009047148749232292, open_set_loss: 0.00031580962240695953
INFO:root:class_loss: 0.004417766351252794, open_set_loss: 0.0002893945202231407
INFO:root:class_loss: 0.006813609041273594, open_set_loss: 0.0002928357571363449
INFO:root:class_loss: 0.014682616107165813, open_set_loss: 0.00030591897666454315
INFO:root:class_loss: 0.010289285331964493, open_set_loss: 0.0002959286794066429
INFO:root:class_loss: 0.0031951984856277704, open_set_loss: 0.000286618247628212
INFO:root:class_loss: 0.008364218287169933, open_set_loss: 0.000290759839117527
INFO:root:class_loss: 0.01056361198425293, open_set_loss: 0.0002921251580119133
INFO:root:class_loss: 0.002296498278155923, open_set_loss: 0.00029068998992443085
INFO:root:class_loss: 0.005882130935788155, open_set_loss: 0.00029115285724401474
INFO:root:class_loss: 0.010804417543113232, open_set_loss: 0.0002773785963654518
INFO:root:class_loss: 0.00896495021879673, open_set_loss: 0.0003002285957336426
INFO:root:class_loss: 0.002779447240754962, open_set_loss: 0.0002850601449608803
INFO:root:class_loss: 0.01563587598502636, open_set_loss: 0.0002779904752969742
INFO:root:class_loss: 0.005921846721321344, open_set_loss: 0.000272202305495739
INFO:root:class_loss: 0.0015511750243604183, open_set_loss: 0.0002674004063010216
INFO:root:class_loss: 0.0076213707216084, open_set_loss: 0.00028224941343069077
